CustomerId,R_score,F_score,M_score,Cluster_Label,Customer_Category
Cust-21984,35.8027,16.241,33.506,6,5. One-Time Buy
Cust-21985,40.06064,51.272,77.077,3,4. At Risk
Cust-21986,61.55647,89.751,86.891,2,3. Need Attention
Cust-21987,33.87437,30.522,59.227,6,5. One-Time Buy
Cust-21988,36.54321,58.376,87.561,2,3. Need Attention
Cust-21989,98.05966,41.855,47.217,4,2. Potential Loyal
Cust-21990,44.81192,68.422,35.124,3,4. At Risk
Cust-21991,43.88528,41.855,54.096,3,4. At Risk
Cust-21992,68.86051,58.376,44.762,4,2. Potential Loyal
Cust-21993,40.88821,63.962,76.399,3,4. At Risk
Cust-21994,77.66159,87.024,74.913,5,1. Loyal
Cust-21995,47.55681,63.962,53.545,3,4. At Risk
Cust-21996,45.02707,58.376,26.803,1,6. Dormant
Cust-21997,57.90495,85.466,91.728,2,3. Need Attention
Cust-21998,33.67624,30.522,54.625,6,5. One-Time Buy
Cust-21999,49.281,51.272,55.952,3,4. At Risk
Cust-22000,50.40378,51.272,41.18,3,4. At Risk
Cust-22001,98.05966,97.711,95.85,5,1. Loyal
Cust-22002,99.68478,30.522,85.344,4,2. Potential Loyal
Cust-22003,79.1346,63.962,79.325,2,3. Need Attention
Cust-22004,36.13293,41.855,14.322,1,6. Dormant
Cust-22005,33.87437,51.272,33.491,3,4. At Risk
Cust-22006,47.55681,51.272,16.066,1,6. Dormant
Cust-22007,34.07151,77.236,86.502,2,3. Need Attention
Cust-22008,50.65795,68.422,85.384,2,3. Need Attention
Cust-22009,39.51627,30.522,45.706,6,5. One-Time Buy
Cust-22010,51.4475,58.376,73.88,2,3. Need Attention
Cust-22011,99.21046,41.855,35.928,4,2. Potential Loyal
Cust-22012,34.28766,51.272,52.204,3,4. At Risk
Cust-22013,36.74035,63.962,46.505,3,4. At Risk
Cust-22014,35.8027,30.522,40.932,6,5. One-Time Buy
Cust-22015,79.58792,63.962,77.382,4,2. Potential Loyal
Cust-22016,53.58497,68.422,86.434,2,3. Need Attention
Cust-22017,43.70015,63.962,74.874,3,4. At Risk
Cust-22018,92.89009,80.859,82.309,5,1. Loyal
Cust-22019,36.54321,41.855,18.285,1,6. Dormant
Cust-22020,35.6476,30.522,58.716,6,5. One-Time Buy
Cust-22021,87.27922,77.236,66.275,4,2. Potential Loyal
Cust-22022,34.65791,16.241,16.885,0,7. Lost
Cust-22023,65.74136,83.516,85.044,2,3. Need Attention
Cust-22024,35.6476,72.023,85.166,2,3. Need Attention
Cust-22025,88.1108,72.023,88.12,5,1. Loyal
Cust-22026,74.04609,80.859,79.63,5,1. Loyal
Cust-22027,33.25695,41.855,34.292,6,5. One-Time Buy
Cust-22028,84.97263,79.162,64.441,4,2. Potential Loyal
Cust-22029,41.36254,51.272,58.158,3,4. At Risk
Cust-22030,91.31201,95.259,92.05,5,1. Loyal
Cust-22031,36.33807,30.522,45.721,6,5. One-Time Buy
Cust-22032,82.82415,90.905,93.002,5,1. Loyal
Cust-22033,45.23221,41.855,60.142,3,4. At Risk
Cust-22034,33.87437,30.522,7.864,0,7. Lost
Cust-22035,36.74035,58.376,41.373,3,4. At Risk
Cust-22036,33.25695,30.522,60.32,6,5. One-Time Buy
Cust-22037,34.87506,41.855,47.015,3,4. At Risk
Cust-22038,87.27922,51.272,59.763,4,2. Potential Loyal
Cust-22039,99.21046,41.855,62.506,4,2. Potential Loyal
Cust-22040,33.46609,16.241,15.174,0,7. Lost
Cust-22041,35.6476,41.855,75.014,3,4. At Risk
Cust-22042,79.58792,58.376,67.547,4,2. Potential Loyal
Cust-22043,36.74035,30.522,43.111,6,5. One-Time Buy
Cust-22044,78.24999,95.485,95.666,5,1. Loyal
Cust-22045,34.65791,16.241,41.717,6,5. One-Time Buy
Cust-22046,45.23221,80.859,74.725,2,3. Need Attention
Cust-22047,34.28766,30.522,25.417,1,6. Dormant
Cust-22048,80.06625,95.726,94.758,5,1. Loyal
Cust-22049,90.50045,96.257,97.346,5,1. Loyal
Cust-22050,82.82415,51.272,12.85,1,6. Dormant
Cust-22051,93.74268,99.124,98.576,5,1. Loyal
Cust-22052,89.7049,63.962,67.794,4,2. Potential Loyal
Cust-22053,35.6476,41.855,56.889,3,4. At Risk
Cust-22054,36.74035,30.522,45.548,6,5. One-Time Buy
Cust-22055,34.87506,30.522,55.519,6,5. One-Time Buy
Cust-22056,33.67624,30.522,29.352,6,5. One-Time Buy
Cust-22057,80.54558,51.272,44.624,4,2. Potential Loyal
Cust-22058,50.65795,68.422,41.253,3,4. At Risk
Cust-22059,35.96081,51.272,74.052,3,4. At Risk
Cust-22060,33.67624,30.522,22.56,1,6. Dormant
Cust-22061,35.37741,30.522,21.124,1,6. Dormant
Cust-22062,36.92648,30.522,17.202,1,6. Dormant
Cust-22063,34.47679,16.241,63.34,6,5. One-Time Buy
Cust-22064,89.7049,63.962,86.936,5,1. Loyal
Cust-22065,35.37741,58.376,26.2,1,6. Dormant
Cust-22066,62.04781,90.505,88.182,2,3. Need Attention
Cust-22067,34.07151,30.522,38.302,6,5. One-Time Buy
Cust-22068,34.28766,30.522,26.38,1,6. Dormant
Cust-22069,41.20843,58.376,79.06,3,4. At Risk
Cust-22070,36.74035,41.855,58.739,3,4. At Risk
Cust-22071,36.74035,16.241,37.885,6,5. One-Time Buy
Cust-22072,72.08074,93.708,91.538,5,1. Loyal
Cust-22073,36.54321,30.522,15.309,1,6. Dormant
Cust-22074,35.2243,30.522,77.357,6,5. One-Time Buy
Cust-22075,33.67624,41.855,65.44,3,4. At Risk
Cust-22076,37.12862,16.241,6.394,0,7. Lost
Cust-22077,34.65791,30.522,18.965,1,6. Dormant
Cust-22078,34.47679,58.376,41.091,3,4. At Risk
Cust-22079,50.65795,51.272,37.466,1,6. Dormant
Cust-22080,89.7049,85.466,65.619,5,1. Loyal
Cust-22081,35.8027,30.522,39.066,6,5. One-Time Buy
Cust-22082,86.45966,93.211,93.912,5,1. Loyal
Cust-22083,36.33807,41.855,4.962,1,6. Dormant
Cust-22084,34.87506,16.241,15.799,0,7. Lost
Cust-22085,37.12862,51.272,61.34,3,4. At Risk
